Gene,pathway
CCND1,Cell Cycle
CCND2,Cell Cycle
CCND3,Cell Cycle
CDK4,Cell Cycle
CDK6,Cell Cycle
RB1,Cell Cycle
RBL1,Cell Cycle
RBL2,Cell Cycle
ABL1,Cell Cycle
HDAC1,Cell Cycle
HDAC2,Cell Cycle
E2F1,Cell Cycle
E2F2,Cell Cycle
E2F3,Cell Cycle
E2F4,Cell Cycle
E2F5,Cell Cycle
TFDP1,Cell Cycle
TFDP2,Cell Cycle
GSK3B,Cell Cycle
TGFB1,Cell Cycle
TGFB2,Cell Cycle
TGFB3,Cell Cycle
SMAD2,Cell Cycle
SMAD3,Cell Cycle
SMAD4,Cell Cycle
MYC,Cell Cycle
ZBTB17,Cell Cycle
CDKN2A,Cell Cycle
CDKN2B,Cell Cycle
CDKN2C,Cell Cycle
CDKN2D,Cell Cycle
CDKN1B,Cell Cycle
CDKN1C,Cell Cycle
CDKN1A,Cell Cycle
CCNE1,Cell Cycle
CCNE2,Cell Cycle
CDK2,Cell Cycle
SKP1,Cell Cycle
CUL1,Cell Cycle
RBX1,Cell Cycle
SKP2,Cell Cycle
CCNA2,Cell Cycle
CCNA1,Cell Cycle
CDC6,Cell Cycle
CDC45,Cell Cycle
CDC7,Cell Cycle
DBF4,Cell Cycle
CDK1,Cell Cycle
CCNB1,Cell Cycle
CCNB2,Cell Cycle
CCNB3,Cell Cycle
CDC25B,Cell Cycle
CDC25C,Cell Cycle
YWHAZ,Cell Cycle
YWHAB,Cell Cycle
YWHAQ,Cell Cycle
YWHAE,Cell Cycle
YWHAH,Cell Cycle
YWHAG,Cell Cycle
PLK1,Cell Cycle
WEE1,Cell Cycle
WEE2,Cell Cycle
PKMYT1,Cell Cycle
CCNH,Cell Cycle
CDK7,Cell Cycle
ANAPC1,Cell Cycle
ANAPC2,Cell Cycle
CDC27,Cell Cycle
ANAPC4,Cell Cycle
ANAPC5,Cell Cycle
CDC16,Cell Cycle
ANAPC7,Cell Cycle
CDC23,Cell Cycle
ANAPC10,Cell Cycle
ANAPC11,Cell Cycle
CDC26,Cell Cycle
ANAPC13,Cell Cycle
CDC20,Cell Cycle
PTTG1,Cell Cycle
PTTG2,Cell Cycle
ESPL1,Cell Cycle
SMC1A,Cell Cycle
SMC1B,Cell Cycle
SMC3,Cell Cycle
STAG2,Cell Cycle
STAG1,Cell Cycle
RAD21,Cell Cycle
TTK,Cell Cycle
BUB1,Cell Cycle
BUB3,Cell Cycle
BUB1B,Cell Cycle
MAD1L1,Cell Cycle
MAD2L1,Cell Cycle
MAD2L2,Cell Cycle
FZR1,Cell Cycle
CDC14B,Cell Cycle
CDC14A,Cell Cycle
ATR,Cell Cycle
ATM,Cell Cycle
TP53,Cell Cycle
CHEK1,Cell Cycle
CHEK2,Cell Cycle
CREBBP,Cell Cycle
EP300,Cell Cycle
PRKDC,Cell Cycle
MDM2,Cell Cycle
GADD45A,Cell Cycle
GADD45B,Cell Cycle
GADD45G,Cell Cycle
PCNA,Cell Cycle
SFN,Cell Cycle
CDC25A,Cell Cycle
ORC1,Cell Cycle
ORC2,Cell Cycle
ORC3,Cell Cycle
ORC4,Cell Cycle
ORC5,Cell Cycle
ORC6,Cell Cycle
MCM2,Cell Cycle
MCM3,Cell Cycle
MCM4,Cell Cycle
MCM5,Cell Cycle
MCM6,Cell Cycle
MCM7,Cell Cycle
NS,mTOR Signalling
IGF1,mTOR Signalling
IRS1,mTOR Signalling
PIK3R1,mTOR Signalling
PIK3R5,mTOR Signalling
PIK3R2,mTOR Signalling
PIK3R3,mTOR Signalling
PIK3CA,mTOR Signalling
PIK3CD,mTOR Signalling
PIK3CB,mTOR Signalling
PIK3CG,mTOR Signalling
PTEN,mTOR Signalling
PDPK1,mTOR Signalling
AKT1,mTOR Signalling
AKT2,mTOR Signalling
AKT3,mTOR Signalling
AKT1S1,mTOR Signalling
TSC1,mTOR Signalling
TSC2,mTOR Signalling
RHEB,mTOR Signalling
MLST8,mTOR Signalling
RRAGA,mTOR Signalling
RRAGB,mTOR Signalling
RRAGC,mTOR Signalling
RRAGD,mTOR Signalling
MTOR,mTOR Signalling
RPTOR,mTOR Signalling
RICTOR,mTOR Signalling
HIF1A,mTOR Signalling
VEGFA,mTOR Signalling
RPS6KB1,mTOR Signalling
RPS6KB2,mTOR Signalling
EIF4B,mTOR Signalling
RPS6,mTOR Signalling
EIF4EBP1,mTOR Signalling
EIF4E,mTOR Signalling
EIF4E2,mTOR Signalling
EIF4E1B,mTOR Signalling
ULK3,mTOR Signalling
ULK1,mTOR Signalling
ULK2,mTOR Signalling
MAPK1,mTOR Signalling
MAPK3,mTOR Signalling
RPS6KA3,mTOR Signalling
RPS6KA1,mTOR Signalling
RPS6KA2,mTOR Signalling
RPS6KA6,mTOR Signalling
DDIT4,mTOR Signalling
TNF,mTOR Signalling
IKBKB,mTOR Signalling
STK11,mTOR Signalling
STRADA,mTOR Signalling
CAB39,mTOR Signalling
CAB39L,mTOR Signalling
PRKAA1,mTOR Signalling
PRKAA2,mTOR Signalling
BRAF,mTOR Signalling
PRKCA,mTOR Signalling
PRKCB,mTOR Signalling
PRKCG,mTOR Signalling
